"","deepseek","gemma2","llama","llama70b","mistral"
"56169",0,1,0,1,1
"56805",1,1,0,0,1
"57733",1,0,0,0,0
"57815",0,1,1,1,1
"57824",1,1,1,0,1
"57899",1,0,0,0,0
"58190",1,0,0,0,0
"58254",1,0,0,0,0
"58382",1,1,0,0,1
"58605",1,1,0,1,1
"58651",0,0,0,0,1
"58774",1,0,0,0,0
"58837",1,1,0,0,0
"59228",0,1,0,0,0
"59229",1,0,0,0,1
"59380",1,0,0,0,0
"59578",0,1,0,1,1
"59699",1,0,0,0,0
"59826",1,1,0,0,1
"59830",1,0,0,0,0
"59831",0,0,0,0,1
"59832",1,0,0,0,1
"59836",1,1,1,1,1
"59837",1,1,1,0,1
"59842",1,0,0,0,0
"59858",1,0,0,0,1
"59859",1,0,0,0,1
"59886",1,1,0,0,1
"59903",1,0,1,0,1
"59904",1,0,0,0,1
"59912",1,0,0,0,0
"59994",0,1,0,0,1
"60035",1,1,0,1,1
"60063",0,1,0,0,0
"60097",0,0,0,0,1
"60134",1,0,0,0,0
"60135",1,1,0,0,0
"60137",1,1,0,0,1
"60142",0,1,0,1,0
"60157",1,0,1,0,0
"60177",1,0,0,0,0
"60178",1,0,0,0,0
"60186",1,0,0,0,0
"60194",1,1,0,1,1
"60200",1,1,1,1,1
"60214",0,0,0,0,1
"60223",0,1,0,0,1
"60229",1,0,0,0,0
"60242",1,1,0,0,1
"60291",1,0,0,0,0
"60295",1,0,0,0,0
"60321",0,1,0,0,0
"60342",0,0,1,0,0
"60350",1,0,1,0,0
"60352",0,1,0,0,1
"60360",0,1,0,0,0
"60365",1,0,0,0,0
"60431",1,1,0,0,1
"60444",1,0,0,0,0
"60460",0,0,0,0,1
"60486",0,0,1,0,0
"60487",0,0,1,0,1
"60488",1,0,0,0,0
"60523",0,1,0,0,0
"60566",1,0,0,0,0
